"Company","Hourly_High","Hour"
"BYND","36.57","13"
"BYND","37.33","12"
"BYND","36.95","14"
"BYND","37.99","10"
"BYND","24.67","16"
"BYND","38.33","15"
"BYND","37.59","11"
"BYND","37.8","09"
"DDOG","118.53","13"
"DDOG","120.71","12"
"DDOG","118.99","11"
"DDOG","118.31","14"
"DDOG","122.58","10"
"DDOG","123.34","09"
"DDOG","120.65","15"
"DDOG","93.93","16"
"FB","207.57","12"
"FB","204.81","13"
"FB","211.88","15"
"FB","205.39","14"
"FB","210.86","10"
"FB","210.73","09"
"FB","196.23","16"
"FB","209.43","11"
"NFLX","200.21","10"
"NFLX","199.45","11"
"NFLX","199.44","12"
"NFLX","198.6","09"
"NFLX","196.6","14"
"NFLX","196.09","13"
"NFLX","187.44","16"
"NFLX","199.66","15"
"OKTA","83.51","16"
"OKTA","124.0","15"
"OKTA","123.35","09"
"OKTA","121.7","13"
"OKTA","123.32","10"
"OKTA","123.85","12"
"OKTA","121.76","11"
"OKTA","121.88","14"
"PINS","21.41","11"
"PINS","21.49","14"
"PINS","21.24","09"
"PINS","21.36","10"
"PINS","22.27","15"
"PINS","22.59","16"
"PINS","21.4","12"
"PINS","21.22","13"
"SHOP","368.49","16"
"SHOP","454.14","15"
"SHOP","451.0","09"
"SHOP","448.42","10"
"SHOP","445.99","12"
"SHOP","440.2","13"
"SHOP","446.1","11"
"SHOP","439.52","14"
"SNAP","28.97","13"
"SNAP","29.44","10"
"SNAP","29.54","15"
"SNAP","29.54","09"
"SNAP","29.44","12"
"SNAP","29.01","14"
"SNAP","22.47","16"
"SNAP","29.24","11"
"SQ","102.37","13"
"SQ","103.28","10"
"SQ","102.97","14"
"SQ","83.4","16"
"SQ","103.07","09"
"SQ","104.22","12"
"SQ","102.44","11"
"SQ","105.97","15"
"TTD","59.94","13"
"TTD","60.98","12"
"TTD","61.35","10"
"TTD","62.12","15"
"TTD","52.5","16"
"TTD","61.22","09"
"TTD","60.28","14"
"TTD","60.64","11"
